Year,Month,Monthly_Temperature_C,Monthly_Uncertainty_C,Annual_Temperature_C,Annual_Uncertainty_C,Five_Year_Temperature_C,Five_Year_Uncertainty_C,Ten_Year_Temperature_C,Ten_Year_Uncertainty_C,Twenty_Year_Temperature_C,Twenty_Year_Uncertainty_C
1879,7,21.218,0.808,21.077,0.309,21.684,0.372,21.458000000000002,0.308,,
1879,8,21.416,0.757,21.069,0.3,21.678,0.37,21.47,0.31,,
1879,9,20.806,1.086,21.158,0.33,21.695,0.384,21.476,0.313,,
1879,10,20.81,0.892,21.191,0.369,21.691,0.388,21.474,0.311,,
1879,11,21.438,0.94,21.288,0.447,21.691,0.388,21.475,0.315,,
1879,12,21.707,1.649,21.253,0.468,21.672,0.378,21.47,0.32,,
1880,1,21.490000000000002,1.081,21.213,0.466,21.65,0.373,21.468,0.323,,
1880,2,21.102,1.213,21.337,0.568,21.642,0.375,21.465,0.327,,
1880,3,21.802,1.992,21.407,0.602,21.654,0.371,21.458000000000002,0.321,,
1880,4,21.155,1.131,21.416,0.664,21.65,0.364,21.45,0.317,,
1880,5,21.535,0.995,21.479,0.685,21.638,0.368,21.458000000000002,0.32,,
1880,6,20.558,0.839,21.486,0.626,21.634,0.37,21.448,0.312,,
1880,7,20.732,0.828,21.506,0.74,21.619,0.372,21.446,0.308,,
1880,8,22.91,1.567,21.542,0.706,21.595,0.37,21.451,0.31,,
1880,9,21.651,0.834,21.5,0.627,21.564,0.372,21.461,0.312,,
1880,10,20.917,0.907,21.575,0.64,21.54,0.361,21.471,0.313,,
1880,11,22.187,1.103,21.701,0.731,21.531,0.359,21.481,0.31,,
1880,12,21.797,0.899,21.7,0.711,21.562,0.365,21.502,0.312,,
1881,1,21.731,1.551,21.73,0.687,21.537,0.35,21.507,0.311,21.391000000000002,0.263
1881,2,21.525,1.007,21.656,0.628,21.526,0.351,21.51,0.314,21.39,0.264
1881,3,21.307,1.041,21.647000000000002,0.646,21.491,0.34,21.505,0.31,21.392,0.267
1881,4,22.052,1.238,21.694,0.656,21.459,0.334,21.506,0.305,21.388,0.266
1881,5,23.042,1.844,21.645,0.654,21.438,0.34,21.508,0.308,21.388,0.267
1881,6,20.544,0.813,21.666,0.662,21.437,0.348,21.51,0.305,21.383,0.266
1881,7,21.093,0.94,21.701,0.573,21.423000000000002,0.353,21.515,0.309,21.377,0.264
1881,8,22.023,0.845,21.688,0.585,21.44,0.359,21.517,0.315,21.369,0.263
1881,9,21.542,0.813,21.762,0.601,21.453,0.378,21.522000000000002,0.32,21.363,0.262
1881,10,21.484,0.994,21.69,0.577,21.455000000000002,0.384,21.513,0.322,21.362000000000002,0.264
1881,11,21.6,1.208,21.581,0.52,21.456,0.395,21.517,0.324,21.365000000000002,0.265
1881,12,22.052,1.011,21.532,0.476,21.461,0.394,21.513,0.317,21.365000000000002,0.269
1882,1,22.15,0.982,21.51,0.443,21.45,0.388,21.517,0.323,21.365000000000002,0.269
1882,2,21.372,1.055,21.516000000000002,0.42,21.47,0.401,21.505,0.318,21.366,0.271
1882,3,22.186,1.444,21.563,0.42,21.488,0.423,21.506,0.319,21.37,0.272
1882,4,21.194,1.0,21.569,0.402,21.497,0.423,21.503,0.316,21.369,0.272
1882,5,21.728,1.044,21.586,0.416,21.495,0.419,21.496,0.313,21.368,0.27
1882,6,19.954,1.496,21.505,0.429,21.476,0.411,21.491,0.316,21.365000000000002,0.27
1882,7,20.830000000000002,0.773,21.461,0.448,21.466,0.416,21.483,0.314,21.365000000000002,0.269
1882,8,22.101,0.929,21.402,0.422,21.46,0.405,21.473,0.313,21.372,0.271
1882,9,22.109,0.915,21.287,0.442,21.423000000000002,0.381,21.47,0.314,21.371,0.269
1882,10,21.55,0.889,21.265,0.478,21.407,0.371,21.463,0.309,21.371,0.27
1882,11,21.809,0.875,21.248,0.444,21.416,0.375,21.453,0.31,21.372,0.273
1882,12,21.082,1.07,21.484,0.414,21.41,0.359,21.45,0.308,21.376,0.274
1883,1,21.619,0.993,21.545,0.441,21.417,0.35,21.446,0.313,21.377,0.278
1883,2,20.663,0.977,21.51,0.454,21.404,0.341,21.438,0.313,21.379,0.28
1883,3,20.804000000000002,0.899,21.394000000000002,0.423,21.411,0.351,21.422,0.316,21.38,0.282
1883,4,20.931,0.805,21.357,0.412,21.438,0.352,21.418,0.314,21.382,0.285
1883,5,21.522000000000002,0.716,21.286,0.416,21.429000000000002,0.342,21.414,0.313,21.383,0.286
1883,6,22.789,0.934,21.356,0.406,21.44,0.337,21.42,0.31,21.378,0.288
1883,7,21.556,0.762,21.371,0.396,21.437,0.334,21.403,0.299,21.382,0.288
1883,8,21.681,0.722,21.497,0.412,21.436,0.342,21.396,0.299,21.382,0.289
1883,9,20.723,0.8,21.558,0.447,21.432,0.328,21.385,0.293,21.384,0.291
1883,10,21.104,0.703,21.551000000000002,0.444,21.415,0.312,21.375,0.286,21.387,0.293
1883,11,20.955000000000002,0.827,21.464,0.428,21.391000000000002,0.3,21.382,0.287,21.393,0.295
1883,12,21.92,1.035,21.337,0.399,21.397000000000002,0.291,21.39,0.29,21.394000000000002,0.296
1884,1,21.803,0.762,21.254,0.375,21.405,0.297,21.381,0.29,21.393,0.297
1884,2,22.177,1.052,21.332,0.408,21.395,0.299,21.39,0.288,21.389,0.296
1884,3,21.53,1.264,21.427,0.501,21.4,0.31,21.405,0.293,21.394000000000002,0.297
1884,4,20.854,0.874,21.448,0.484,21.38,0.308,21.415,0.295,21.389,0.297
1884,5,20.477,0.689,21.48,0.518,21.379,0.3,21.43,0.302,21.383,0.295
1884,6,21.258,0.83,21.367,0.53,21.357,0.284,21.436,0.302,21.382,0.294
1884,7,20.565,0.874,21.29,0.538,21.35,0.303,21.436,0.299,21.381,0.293
1884,8,22.619,1.275,21.169,0.499,21.332,0.295,21.437,0.298,21.381,0.292
1884,9,21.857,1.173,21.008,0.41,21.317,0.287,21.448,0.308,21.378,0.291
1884,10,21.357,0.781,20.952,0.346,21.315,0.28,21.46,0.313,21.376,0.293
1884,11,21.344,1.007,21.088,0.412,21.301000000000002,0.276,21.466,0.315,21.38,0.294
1884,12,20.558,1.006,20.999,0.365,21.311,0.292,21.47,0.312,21.38,0.297
1885,1,20.882,0.807,21.045,0.369,21.317,0.294,21.468,0.317,21.376,0.296
1885,2,20.725,0.764,21.006,0.345,21.303,0.29,21.468,0.311,21.372,0.296
1885,3,19.603,0.865,21.022,0.329,21.286,0.297,21.465,0.301,21.374,0.294
1885,4,20.182000000000002,0.76,21.121,0.348,21.277,0.298,21.465,0.297,21.373,0.291
1885,5,22.102,1.177,21.147000000000002,0.329,21.269000000000002,0.296,21.465,0.295,21.374,0.288
1885,6,20.191,0.897,21.304000000000002,0.323,21.266000000000002,0.289,21.475,0.291,21.373,0.286
1885,7,21.12,0.962,21.364,0.322,21.273,0.297,21.474,0.29,21.369,0.284
1885,8,22.156,0.77,21.425,0.366,21.282,0.307,21.461,0.283,21.37,0.284
1885,9,22.042,1.0,21.545,0.407,21.279,0.313,21.463,0.286,21.371,0.283
1885,10,22.55,0.856,21.614,0.428,21.296,0.324,21.471,0.29,21.375,0.28
1885,11,21.652,0.843,21.577,0.412,21.297,0.327,21.459,0.286,21.38,0.278
1885,12,22.442,0.871,21.634,0.424,21.279,0.32,21.452,0.285,21.388,0.28
1886,1,21.602,0.999,21.674,0.504,21.268,0.32,21.438,0.279,21.394000000000002,0.28
1886,2,21.462,1.535,21.609,0.575,21.265,0.323,21.428,0.279,21.394000000000002,0.279
1886,3,21.038,0.857,21.592,0.614,21.279,0.324,21.426000000000002,0.278,21.393,0.278
1886,4,21.014,0.764,21.405,0.645,21.29,0.32,21.412,0.27,21.393,0.277
1886,5,21.654,0.906,21.397000000000002,0.655,21.325,0.324,21.401,0.26,21.391000000000002,0.278
1886,6,20.87,0.724,21.254,0.597,21.342,0.322,21.398,0.259,21.389,0.278
1886,7,21.605,1.094,21.266000000000002,0.629,21.338,0.32,21.39,0.259,21.386,0.279
1886,8,21.379,1.351,21.165,0.545,21.341,0.314,21.375,0.256,21.383,0.278
1886,9,21.836,1.307,21.186,0.569,21.357,0.309,21.365000000000002,0.257,21.381,0.276
1886,10,20.31,1.04,21.191,0.586,21.375,0.303,21.362000000000002,0.258,21.385,0.277
1886,11,21.557,0.831,21.128,0.538,21.404,0.309,21.359,0.254,21.388,0.278
1886,12,20.718,1.002,21.1,0.547,21.412,0.309,21.355,0.256,21.394000000000002,0.279
1887,1,21.751,1.39,21.066,0.468,21.421,0.309,21.347,0.262,21.394000000000002,0.28
1887,2,20.242,0.695,21.06,0.395,21.403,0.294,21.35,0.26,21.392,0.278
1887,3,21.29,0.909,20.996,0.362,21.407,0.29,21.347,0.256,21.39,0.277
1887,4,21.081,0.732,21.052,0.307,21.423000000000002,0.298,21.34,0.251,21.392,0.275
1887,5,20.895,0.765,21.034,0.29,21.438,0.298,21.334,0.251,21.389,0.272
1887,6,20.541,0.819,21.049,0.292,21.464,0.297,21.343,0.262,21.394000000000002,0.272
1887,7,21.193,0.761,21.074,0.279,21.47,0.296,21.347,0.265,21.395,0.272
1887,8,21.303,0.732,21.154,0.306,21.476,0.294,21.351,0.267,21.389,0.271
1887,9,21.067,0.823,21.1,0.276,21.506,0.307,21.343,0.269,21.391000000000002,0.27
1887,10,20.984,0.748,21.17,0.3,21.522000000000002,0.314,21.341,0.277,21.39,0.269
1887,11,21.344,0.73,21.228,0.322,21.514,0.301,21.339,0.283,21.391000000000002,0.271
1887,12,20.9,0.719,21.324,0.321,21.54,0.306,21.341,0.287,21.394000000000002,0.272
1888,1,22.049,1.257,21.3,0.316,21.531,0.312,21.334,0.29,21.392,0.271
1888,2,21.198,0.885,21.317,0.335,21.519000000000002,0.313,21.34,0.292,21.388,0.269
1888,3,20.649,0.624,21.357,0.3,21.516000000000002,0.306,21.343,0.299,21.381,0.268
1888,4,21.923000000000002,0.865,21.426000000000002,0.302,21.503,0.312,21.342,0.309,21.375,0.264
1888,5,21.584,0.713,21.568,0.29,21.489,0.311,21.345,0.313,21.366,0.261
1888,6,21.699,0.707,21.737000000000002,0.327,21.464,0.308,21.327,0.313,21.367,0.261
1888,7,20.899,0.512,21.697,0.291,21.438,0.301,21.328,0.318,21.359,0.255
1888,8,21.509,0.715,21.791,0.271,21.419,0.289,21.328,0.32,21.358,0.253
1888,9,21.545,0.637,21.945,0.274,21.42,0.296,21.336,0.327,21.356,0.251
1888,10,21.817,0.6,21.949,0.25,21.409,0.299,21.346,0.333,21.351,0.249
1888,11,23.051000000000002,0.82,21.999,0.272,21.411,0.298,21.351,0.34,21.349,0.251
1888,12,22.92,0.817,22.002,0.307,21.4,0.301,21.346,0.344,21.349,0.25
1889,1,21.568,0.657,22.022000000000002,0.31,21.375,0.295,21.338,0.345,21.339,0.248
1889,2,22.330000000000002,0.658,22.023,0.313,21.355,0.284,21.319,0.34,21.341,0.245
1889,3,22.490000000000002,0.62,22.071,0.332,21.331,0.271,21.316,0.339,21.342,0.247
1889,4,21.975,0.652,22.112000000000002,0.361,21.344,0.268,21.313,0.339,21.344,0.247
1889,5,22.189,0.748,22.042,0.386,21.339,0.263,21.309,0.341,21.345,0.25
1889,6,21.734,0.806,21.976,0.407,21.352,0.283,21.305,0.342,21.344,0.25
1889,7,21.138,0.634,21.951,0.436,21.343,0.274,21.305,0.344,21.339,0.25
1889,8,21.515,0.589,21.846,0.424,21.369,0.274,21.292,0.338,21.336,0.25
1889,9,22.124,0.779,21.756,0.426,21.378,0.273,21.279,0.335,21.341,0.252
1889,10,22.307,0.691,21.687,0.4,21.365000000000002,0.274,21.279,0.339,21.341,0.254
1889,11,22.21,1.001,21.637,0.385,21.366,0.279,21.284,0.337,21.343,0.251
1889,12,22.128,1.036,21.638,0.364,21.375,0.281,21.29,0.337,21.345,0.247
1890,1,21.279,0.816,21.593,0.391,21.378,0.285,21.283,0.332,21.344,0.247
1890,2,21.062,0.617,21.585,0.421,21.398,0.294,21.28,0.328,21.352,0.243
1890,3,21.416,0.651,21.563,0.411,21.401,0.29,21.29,0.332,21.35,0.237
1890,4,21.146,0.542,21.522000000000002,0.417,21.406,0.302,21.296,0.333,21.349,0.236
1890,5,21.582,0.822,21.402,0.395,21.409,0.312,21.29,0.322,21.346,0.234
1890,6,21.753,0.776,21.307,0.356,21.415,0.326,21.299,0.324,21.352,0.233
1890,7,20.592,0.716,21.2,0.324,21.395,0.328,21.292,0.325,21.351,0.232
1890,8,21.417,0.587,21.141000000000002,0.353,21.399,0.322,21.288,0.323,21.345,0.227
1890,9,21.867,0.537,21.112000000000002,0.359,21.408,0.331,21.281,0.318,21.343,0.228
1890,10,21.814,0.843,21.046,0.376,21.389,0.337,21.279,0.312,21.348,0.227
1890,11,20.769000000000002,0.63,21.063,0.39,21.394000000000002,0.346,21.278,0.311,21.35,0.224
1890,12,20.985,0.622,20.932,0.384,21.375,0.353,21.275,0.313,21.353,0.223
1891,1,19.993000000000002,0.55,20.894000000000002,0.357,21.389,0.365,21.28,0.316,21.353,0.219
1891,2,20.354,0.867,20.792,0.355,21.392,0.367,21.279,0.309,21.352,0.219
1891,3,21.066,0.938,20.669,0.346,21.393,0.378,21.281,0.312,21.35,0.216
1891,4,20.362000000000002,0.505,20.609,0.342,21.402,0.391,21.281,0.314,21.346,0.212
1891,5,21.789,0.681,20.649,0.326,21.376,0.398,21.275,0.311,21.342,0.205
1891,6,20.181,0.496,20.693,0.369,21.351,0.405,21.269000000000002,0.314,21.342,0.203
1891,7,20.125,0.581,20.795,0.383,21.337,0.411,21.256,0.313,21.339,0.203
1891,8,20.196,0.512,20.914,0.356,21.298000000000002,0.406,21.249,0.304,21.335,0.201
1891,9,20.387,0.406,20.978,0.334,21.275,0.411,21.240000000000002,0.295,21.338,0.202
1891,10,21.101,0.8,20.973,0.339,21.25,0.415,21.258,0.292,21.337,0.199
1891,11,21.244,0.662,20.905,0.332,21.215,0.414,21.259,0.292,21.342,0.196
1891,12,21.517,1.014,20.977,0.345,21.198,0.414,21.274,0.299,21.345,0.196
1892,1,21.212,0.712,21.081,0.358,21.188,0.417,21.271,0.291,21.343,0.199
1892,2,21.792,0.622,21.275,0.408,21.18,0.421,21.28,0.291,21.344,0.197
1892,3,21.831,0.796,21.345,0.407,21.151,0.419,21.274,0.288,21.341,0.193
1892,4,20.306,0.432,21.361,0.401,21.135,0.419,21.28,0.284,21.343,0.19
1892,5,20.97,0.539,21.384,0.439,21.131,0.416,21.282,0.285,21.342,0.189
1892,6,21.045,0.782,21.365000000000002,0.427,21.116,0.413,21.298000000000002,0.285,21.347,0.192
1892,7,21.37,0.476,21.334,0.461,21.096,0.4,21.306,0.284,21.349,0.193
1892,8,22.521,0.915,21.302,0.465,21.083000000000002,0.393,21.306,0.283,21.345,0.19
1892,9,21.228,0.523,21.248,0.483,21.074,0.388,21.312,0.278,21.342,0.191
1892,10,21.298000000000002,0.765,21.29,0.558,21.07,0.381,21.318,0.28,21.342,0.192
1892,11,21.522000000000002,1.064,21.366,0.595,21.067,0.371,21.330000000000002,0.281,21.342,0.191
1892,12,21.286,1.086,21.324,0.612,21.058,0.368,21.337,0.285,21.341,0.191
1893,1,20.844,1.13,21.355,0.657,21.053,0.363,21.337,0.279,21.341,0.188
1893,2,21.4,0.558,21.286,0.624,21.057,0.359,21.338,0.273,21.345,0.187
1893,3,21.184,0.855,21.32,0.651,21.046,0.355,21.341,0.268,21.348,0.187
1893,4,20.808,1.176,21.408,0.66,21.054000000000002,0.338,21.331,0.26,21.349,0.188
1893,5,21.882,1.043,21.403,0.663,21.067,0.333,21.317,0.258,21.347,0.187
1893,6,20.543,0.721,21.414,0.681,21.085,0.34,21.314,0.26,21.339,0.185
1893,7,21.740000000000002,0.833,21.406,0.644,21.123,0.35,21.316,0.259,21.336,0.185
1893,8,21.693,0.678,21.285,0.638,21.14,0.346,21.321,0.256,21.335,0.183
1893,9,21.636,0.619,21.283,0.629,21.142,0.343,21.328,0.257,21.337,0.185
1893,10,22.361,1.024,21.256,0.604,21.154,0.341,21.327,0.26,21.337,0.185
1893,11,21.462,0.909,21.102,0.594,21.138,0.338,21.317,0.26,21.337,0.186
1893,12,21.415,1.106,21.12,0.593,21.138,0.34,21.309,0.256,21.330000000000002,0.185
1894,1,20.748,0.888,21.017,0.559,21.138,0.346,21.297,0.255,21.323,0.184
1894,2,19.951,0.966,20.965,0.541,21.143,0.34,21.292,0.251,21.315,0.182
1894,3,21.155,0.854,20.859,0.53,21.148,0.337,21.279,0.249,21.31,0.18
1894,4,20.481,0.863,20.776,0.522,21.172,0.332,21.274,0.246,21.311,0.177
1894,5,20.037,0.705,20.815,0.516,21.18,0.335,21.26,0.242,21.315,0.176
1894,6,20.756,0.796,20.803,0.475,21.196,0.329,21.251,0.238,21.311,0.176
1894,7,20.511,0.523,20.745,0.412,21.198,0.325,21.241,0.238,21.312,0.176
1894,8,21.07,0.513,20.774,0.375,21.191,0.324,21.235,0.238,21.306,0.172
1894,9,20.364,0.517,20.751,0.325,21.17,0.32,21.235,0.233,21.302,0.169
1894,10,21.361,0.62,20.784,0.26,21.195,0.313,21.222,0.231,21.3,0.169
1894,11,21.932,0.708,20.896,0.219,21.197,0.31,21.219,0.226,21.302,0.165
1894,12,21.273,0.803,20.936,0.208,21.22,0.308,21.221,0.221,21.307,0.163
1895,1,20.053,0.649,20.917,0.206,21.234,0.303,21.22,0.215,21.31,0.162
1895,2,20.295,0.588,20.967,0.202,21.213,0.291,21.237000000000002,0.212,21.31,0.162
1895,3,20.886,0.518,21.036,0.186,21.223,0.286,21.235,0.209,21.318,0.163
1895,4,20.872,0.526,21.114,0.216,21.23,0.278,21.233,0.207,21.324,0.164
1895,5,21.385,0.684,21.085,0.238,21.25,0.267,21.228,0.205,21.324,0.16
1895,6,21.234,0.491,21.151,0.246,21.259,0.264,21.229,0.204,21.327,0.161
1895,7,20.279,0.496,21.336,0.2,21.279,0.248,21.227,0.201,21.326,0.162
1895,8,21.668,0.537,21.422,0.19,21.276,0.246,21.229,0.199,21.32,0.161
1895,9,21.19,0.5,21.45,0.175,21.275,0.231,21.223,0.196,21.31,0.159
1895,10,22.302,0.808,21.465,0.183,21.273,0.214,21.226,0.192,21.298000000000002,0.159
1895,11,21.582,0.473,21.422,0.225,21.241,0.206,21.242,0.19,21.297,0.159
1895,12,22.066,0.659,21.334,0.251,21.253,0.203,21.254,0.19,21.296,0.158
1896,1,22.272,1.106,21.321,0.293,21.243,0.192,21.268,0.187,21.301000000000002,0.155
1896,2,21.333000000000002,0.616,21.224,0.277,21.251,0.187,21.277,0.186,21.306,0.152
1896,3,21.219,0.701,21.182,0.289,21.262,0.181,21.275,0.18,21.302,0.151
1896,4,21.053,0.599,21.202,0.341,21.251,0.177,21.281,0.178,21.308,0.151
1896,5,20.87,0.488,21.211,0.369,21.258,0.171,21.282,0.175,21.311,0.151
1896,6,20.175,0.633,21.248,0.361,21.267,0.159,21.286,0.172,21.318,0.151
1896,7,20.121,0.692,21.17,0.31,21.257,0.151,21.287,0.172,21.321,0.15
1896,8,20.506,0.719,21.173000000000002,0.27,21.287,0.143,21.295,0.17,21.321,0.148
1896,9,20.686,0.581,21.118,0.258,21.282,0.138,21.311,0.17,21.319,0.145
1896,10,22.546,0.551,21.18,0.241,21.297,0.133,21.312,0.165,21.323,0.144
1896,11,21.685,0.548,21.199,0.236,21.305,0.13,21.325,0.164,21.319,0.142
1896,12,22.512,0.61,21.388,0.219,21.304000000000002,0.13,21.336,0.162,21.321,0.144
1897,1,21.333000000000002,0.467,21.559,0.21,21.295,0.132,21.339,0.16,21.316,0.141
1897,2,21.374,0.554,21.625,0.205,21.29,0.131,21.338,0.159,21.32,0.142
1897,3,20.56,0.629,21.717,0.207,21.318,0.129,21.335,0.155,21.316,0.141
1897,4,21.798000000000002,0.537,21.648,0.21,21.309,0.127,21.345,0.153,21.315,0.141
1897,5,21.091,0.463,21.736,0.208,21.307,0.124,21.35,0.151,21.318,0.142
1897,6,22.448,0.445,21.679000000000002,0.204,21.325,0.121,21.352,0.15,21.321,0.143
1897,7,22.172,0.599,21.739,0.198,21.344,0.117,21.351,0.148,21.323,0.144
1897,8,21.295,0.434,21.728,0.196,21.39,0.118,21.34,0.14,21.325,0.143
1897,9,21.796,0.515,21.773,0.175,21.395,0.117,21.341,0.139,21.328,0.142
1897,10,21.716,0.562,21.68,0.172,21.395,0.112,21.343,0.135,21.331,0.143
1897,11,22.737000000000002,0.682,21.585,0.171,21.389,0.112,21.344,0.128,21.329,0.143
1897,12,21.825,0.51,21.487000000000002,0.16,21.399,0.112,21.342,0.126,21.329,0.144
1898,1,22.055,0.517,21.4,0.147,21.402,0.113,21.348,0.119,21.329,0.141
1898,2,21.241,0.607,21.473,0.15,21.401,0.11,21.349,0.118,21.328,0.14
1898,3,21.1,0.545,21.516000000000002,0.147,21.399,0.108,21.352,0.113,21.325,0.139
1898,4,20.69,0.667,21.516000000000002,0.153,21.398,0.108,21.356,0.108,21.322,0.138
1898,5,19.948,0.426,21.445,0.185,21.416,0.11,21.349,0.109,21.321,0.138
1898,6,21.266000000000002,0.569,21.453,0.212,21.423000000000002,0.108,21.351,0.108,21.311,0.139
1898,7,21.135,0.481,21.295,0.222,21.412,0.107,21.344,0.107,21.31,0.139
1898,8,22.17,0.438,21.335,0.234,21.415,0.109,21.342,0.106,21.307,0.137
1898,9,22.313,0.351,21.317,0.252,21.408,0.114,21.338,0.107,21.301000000000002,0.138
1898,10,21.708000000000002,0.445,21.376,0.268,21.408,0.118,21.327,0.106,21.295,0.138
1898,11,21.893,0.703,21.421,0.288,21.426000000000002,0.12,21.323,0.105,21.29,0.137
1898,12,21.913,0.416,21.376,0.289,21.434,0.117,21.313,0.104,21.285,0.137
1899,1,20.158,0.429,21.278,0.3,21.436,0.117,21.308,0.104,21.28,0.137
1899,2,21.729,0.494,21.161,0.297,21.446,0.116,21.311,0.101,21.274,0.137
1899,3,20.876,0.617,21.139,0.303,21.473,0.114,21.303,0.099,21.268,0.137
1899,4,21.407,0.76,21.067,0.3,21.452,0.117,21.309,0.099,21.26,0.137
1899,5,20.485,0.512,21.06,0.285,21.471,0.12,21.32,0.098,21.256,0.137
1899,6,20.728,0.378,21.095,0.261,21.475,0.123,21.316,0.1,21.255,0.136
1899,7,19.954,0.531,21.182,0.237,21.48,0.126,21.32,0.101,21.252,0.137
1899,8,20.772,0.496,21.292,0.263,21.484,0.131,21.32,0.103,21.252,0.137
1899,9,22.049,0.414,21.317,0.258,21.499,0.133,21.326,0.104,21.248,0.136
1899,10,20.834,0.483,21.274,0.208,21.496,0.132,21.321,0.105,21.247,0.134
1899,11,21.817,0.552,21.318,0.203,21.503,0.131,21.319,0.106,21.242,0.133
1899,12,22.326,0.529,21.411,0.184,21.484,0.129,21.324,0.108,21.235,0.131
1900,1,21.206,0.625,21.451,0.179,21.469,0.126,21.337,0.105,21.237000000000002,0.129
1900,2,23.051000000000002,0.697,21.524,0.172,21.466,0.129,21.341,0.106,21.239,0.128
1900,3,21.169,0.499,21.442,0.19,21.46,0.13,21.345,0.105,21.235,0.127
1900,4,20.891000000000002,0.558,21.556,0.192,21.456,0.134,21.352,0.105,21.237000000000002,0.126
1900,5,21.012,0.617,21.627,0.189,21.438,0.144,21.358,0.104,21.240000000000002,0.127
1900,6,21.853,0.367,21.639,0.195,21.425,0.15,21.355,0.105,21.240000000000002,0.129
1900,7,20.433,0.419,21.676000000000002,0.187,21.417,0.152,21.36,0.104,21.245,0.129
1900,8,21.645,0.325,21.545,0.155,21.421,0.156,21.351,0.105,21.249,0.128
1900,9,21.069,0.444,21.518,0.151,21.429000000000002,0.155,21.34,0.106,21.252,0.128
1900,10,22.195,0.408,21.531,0.152,21.438,0.149,21.318,0.105,21.245,0.127
1900,11,22.676000000000002,0.495,21.606,0.15,21.457,0.149,21.316,0.105,21.246,0.125
1900,12,22.466,0.502,21.508,0.164,21.45,0.151,21.317,0.107,21.244,0.125
1901,1,21.651,0.486,21.494,0.172,21.444,0.149,21.322,0.109,21.249,0.125
1901,2,21.478,0.711,21.447,0.183,21.433,0.147,21.332,0.11,21.25,0.123
1901,3,20.84,0.408,21.552,0.172,21.414,0.145,21.324,0.114,21.25,0.121
1901,4,21.051000000000002,0.379,21.472,0.177,21.403,0.147,21.334,0.117,21.252,0.121
1901,5,21.915,0.541,21.485,0.173,21.387,0.144,21.348,0.117,21.25,0.12
1901,6,20.681,0.424,21.509,0.177,21.359,0.144,21.368,0.116,21.25,0.121
1901,7,20.258,0.401,21.51,0.173,21.359,0.142,21.385,0.116,21.256,0.122
1901,8,21.081,0.381,21.522000000000002,0.169,21.336,0.138,21.393,0.115,21.262,0.121
