STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,URBANIZATION,Urbanization,INDICATOR,Indicator,SEX,Sex,AGE,Age,LIVESTOCK_PIG,Farming pigs,LIVESTOCK_CHICKEN,Farming chickens,LIVESTOCK_DUCK,Farming ducks,LIVESTOCK_OTHER,Farming other livestock,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,KI,Kiribati,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,83,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,PW-1,Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2013,,1,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,VU-2,Sanma,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,76,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,MH-5,Rural 3,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,54,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TV-A,Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2015,,69,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,MH-1,urban 1,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,10,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TO-4,Ha'apai,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2021,,91,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,MH-6,Rural 4,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,91,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,CK-1,Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2015,,35,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,VU-8,Shefa Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,5,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,MH-3,Rural 1,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,74,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,KI-D,Southern Kiribati,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,91,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,MH-2,Urban 2,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,8,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,KI-C,Central Kiribati,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,88,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TO-6,Ongo Niua,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2021,,85,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,PW-2,Rural,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2013,,11,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,MH-4,Rural 2,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,76,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,VU-5,Shefa,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,58,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,VU-7,Sanma Urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,30,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,VU-1,Torba,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,77,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TO-3,Vava'u,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2021,,84,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,MH,Marshall Islands,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,27,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TV-B,Rural,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2015,,95,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TO-2,Tongatapu rural,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2021,,58,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,KI-B,South Tarawa,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,90,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,VU-6,Tafea,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,96,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,VU,Vanuatu,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,62,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TK,Tokelau,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2015,,16,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,TO-1,Tongatapu urban,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2021,,51,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LIVESTOCK(1.0),"Food security: Number and proportion of households by geography, sex, age and urbanization in the Pacific who were involved in raising livestock",I,A,Annual,VU-4,Malampa,_T,National,PERCENT,Percentage of households,_T,Total,_T,All ages,_T,Total,_T,Total,_T,Total,_T,Total,2019,,88,,PERCENT,percent,,,,,,,,,,
