STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2017,,15.4,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2018,,15.5,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2019,,15.93,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2020,,15.99,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2021,,16.26,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,WS,Samoa,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2022,,16.26,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2016,,38.47,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2017,,39.56,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2018,,41.21,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2019,,42.83,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2020,,44.66,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2021,,45.45,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2022,,46.42,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2016,,24.88,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2017,,25.09,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2018,,22.14,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2019,,22.21,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2020,,22.01,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2021,,22.5,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2022,,22.38,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2016,,27.17,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2017,,27.63,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2018,,22.51,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2019,,23.25,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2020,,22.1,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2021,,22.28,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2022,,22.47,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2023,,22.47,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,SB,Solomon Islands,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2016,,49.92,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,SB,Solomon Islands,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2017,,50.56,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,SB,Solomon Islands,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2018,,50.37,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,SB,Solomon Islands,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2019,,50.86,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,SB,Solomon Islands,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2020,,50.64,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,SB,Solomon Islands,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2021,,50.73,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,SB,Solomon Islands,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2022,,51.31,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2016,,26.4,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2017,,26.36,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2018,,26.1,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2019,,26.57,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2020,,26.9,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2021,,27.45,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2022,,27.58,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2016,,54.29,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2017,,52.88,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2018,,51.05,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2019,,49.23,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2020,,44.69,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2021,,43.47,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,VU,Vanuatu,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2022,,42.35,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FJ,Fiji,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2016,,55.22,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FJ,Fiji,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2017,,55.77,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FJ,Fiji,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2018,,56.23,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FJ,Fiji,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2019,,56.58,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FJ,Fiji,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2020,,56.29,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FJ,Fiji,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2021,,56.37,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FJ,Fiji,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2022,,56.97,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2016,,14.17,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2017,,14.01,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2018,,13.8,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2019,,13.73,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2020,,13.74,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2021,,13.46,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_IND_EMPL_ZS,Employment in industry (% of total employment) (modeled ILO estimate),2022,,13.4,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2016,,85.56,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2017,,85.74,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2018,,85.95,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2019,,86.03,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2020,,86.02,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2021,,86.29,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,SL_SRV_EMPL_ZS,Employment in services (% of total employment) (modeled ILO estimate),2022,,86.36,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2016,,1.44,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2017,,1.32,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2018,,1.06,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2019,,1.9,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2020,,1.91,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2021,,1.86,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,NC,New Caledonia,SL_AGR_EMPL_ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),2022,,1.82,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,PW,Palau,NV_AGR_TOTL_ZS,Agriculture value added (% of GDP),2016,,3.05,,,,,,,,,,,
